2026-02-09 03:40:06 | [SP500] | M5 | candle=2026-02-09 03:35:00 | O=6946.21 H=6947.15 L=6941.65 C=6941.9 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:40:06 | EURUSD | M5 | candle=2026-02-09 03:35:00 | O=1.18316 H=1.18333 L=1.18261 C=1.18261 | bull_eng=False | bear_eng=True | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:45:07 | [SP500] | M5 | candle=2026-02-09 03:40:00 | O=6942.02 H=6944.52 L=6941.65 C=6943.02 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:45:08 | EURUSD | M5 | candle=2026-02-09 03:40:00 | O=1.18261 H=1.1831 L=1.18255 C=1.18296 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:50:08 | [SP500] | M5 | candle=2026-02-09 03:45:00 | O=6943.4 H=6944.15 L=6939.4 C=6942.34 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:50:09 | EURUSD | M5 | candle=2026-02-09 03:45:00 | O=1.18296 H=1.183 L=1.1826699999999999 C=1.18295 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:55:10 | [SP500] | M5 | candle=2026-02-09 03:50:00 | O=6942.15 H=6942.65 L=6939.15 C=6940.9 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 03:55:10 | EURUSD | M5 | candle=2026-02-09 03:50:00 | O=1.18295 H=1.183 L=1.18259 C=1.18259 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:00:01 | [SP500] | M5 | candle=2026-02-09 03:55:00 | O=6941.02 H=6942.15 L=6938.15 C=6941.02 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:00:02 | EURUSD | M5 | candle=2026-02-09 03:55:00 | O=1.18263 H=1.1827 L=1.18248 C=1.18253 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:05:03 | [SP500] | M5 | candle=2026-02-09 04:00:00 | O=6941.15 H=6941.9 L=6938.4 C=6941.46 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:05:03 | EURUSD | M5 | candle=2026-02-09 04:00:00 | O=1.18252 H=1.18253 L=1.18207 C=1.18209 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:10:04 | [SP500] | M5 | candle=2026-02-09 04:05:00 | O=6941.59 H=6945.9 L=6939.9 C=6945.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:10:04 | EURUSD | M5 | candle=2026-02-09 04:05:00 | O=1.18207 H=1.18231 L=1.18157 C=1.18166 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
